district,type,lng,lat,trading_area,school_num,similar_shops_num,human_traffic,subway_num,bus_station_num,residence_num,office_building_num,school_num_rank,similar_shops_num_rank,human_traffic_rank,subway_num_rank,bus_station_num_rank,residence_num_rank,office_building_num_rank,total_score
卢湾区,4-优质商圈,121.47548042948534,31.22384801059048,复兴公园,63,80,6063,140,280,141,138,127.5,63.0,70.0,47.5,39.0,215.0,100.0,662.0
卢湾区,4-优质商圈,121.48537340529339,31.207331567593283,五里桥,53,80,6372,129,280,149,138,146.5,63.0,64.5,102.0,39.0,38.5,100.0,553.5
浦东新区,4-优质商圈,121.70280987933484,31.19995380257467,川沙,120,64,7153,26,170,144,64,41.0,146.0,61.0,221.0,179.5,192.5,214.0,1055.0
浦东新区,4-优质商圈,121.57992031782136,31.255900610590736,金杨新村,14,27,10868,62,247,150,136,226.0,210.5,34.0,189.0,109.0,11.5,130.0,910.0
浦东新区,4-优质商圈,121.51463419226896,31.154581801115796,三林,16,31,5588,71,230,147,127,219.5,201.5,77.5,181.5,124.5,110.5,193.0,1108.0
浦东新区,4-优质商圈,121.51300280600132,31.241975714755444,陆家嘴,43,80,3110,140,280,147,134,168.0,63.0,134.0,47.5,39.0,110.5,153.5,715.5
浦东新区,4-优质商圈,121.51170898685415,31.180546216235754,上南地区,14,39,11063,99,242,149,133,226.0,188.0,30.5,138.5,114.5,38.5,163.5,899.5
浦东新区,4-优质商圈,121.55769143660831,31.216025381005434,世纪公园,18,33,4036,89,209,145,134,212.5,197.5,116.0,152.0,149.0,178.0,153.5,1158.5
浦东新区,4-优质商圈,121.59565847306641,31.343380776472696,外高桥,120,22,4280,17,128,145,139,41.0,215.5,106.0,232.0,208.0,178.0,83.5,1064.0
浦东新区,4-优质商圈,121.54461380508054,31.243423149195053,源深体育中心,34,42,3733,102,277,149,141,179.5,184.5,125.0,135.5,78.0,38.5,55.0,796.0
浦东新区,4-优质商圈,121.52762279537092,31.214854251966,塘桥,44,80,3110,111,280,149,141,165.5,63.0,134.0,122.0,39.0,38.5,55.0,617.0
浦东新区,4-优质商圈,121.58370057809195,31.12142086027672,周浦,13,55,3072,23,179,147,77,231.5,158.0,136.0,223.5,174.0,110.5,209.0,1242.5
浦东新区,4-优质商圈,121.6088340982934,31.208581644375354,张江,17,18,2118,36,165,147,138,215.5,217.5,158.0,211.5,184.0,110.5,100.0,1197.0
玄武区,4-优质商圈,118.8083098751668,32.05070955429641,梅园,120,80,2015,107,139,148,147,41.0,63.0,169.0,128.0,204.0,71.5,2.5,679.0
西城区,4-优质商圈,116.35716536539523,39.94710251670445,动物园,120,63,21810,105,161,144,135,41.0,148.5,2.0,133.0,187.0,192.5,142.5,846.5
长宁区,4-优质商圈,121.4056829339784,31.205612475813236,古北,100,80,18762,97,209,141,139,87.0,63.0,4.0,143.5,149.0,215.0,83.5,745.0
